Native byteorder:  little
name   mean   desp   chi2   0.05   0.95
61961_photo_manipulation_vaporwave.jpg   3.59e+04   3.92e+08   10233107.301942019   64941.638572299875   66132.63548188654
61961_photo_manipulation_vaporwave.jpg.bf-cfb   3.27e+04   3.58e+08   63281.483068370064   64941.638572299875   66132.63548188654
61961_photo_manipulation_vaporwave.jpg.bf-ofb   3.28e+04   3.57e+08   62643.05586106091   64941.638572299875   66132.63548188654
61961_photo_manipulation_vaporwave.jpg.zip   3.34e+04   3.60e+08   65763.14496044797   64941.638572299875   66132.63548188654
A-Bachelors-Dog-painting.jpg   3.23e+04   3.46e+08   88392.59048038755   64941.638572299875   66132.63548188654
A-Bachelors-Dog-painting.jpg.bf-cfb   3.28e+04   3.58e+08   42587.91018435581   64941.638572299875   66132.63548188654
A-Bachelors-Dog-painting.jpg.bf-ofb   3.29e+04   3.58e+08   42425.54327900588   64941.638572299875   66132.63548188654
A-Bachelors-Dog-painting.jpg.zip   3.24e+04   3.51e+08   63090.65439104586   64941.638572299875   66132.63548188654
Composition-8-kandinsky-painting.jpg   3.11e+04   3.59e+08   98495.9776405957   64941.638572299875   66132.63548188654
Composition-8-kandinsky-painting.jpg.bf-cfb   3.27e+04   3.60e+08   47123.874303786084   64941.638572299875   66132.63548188654
Composition-8-kandinsky-painting.jpg.bf-ofb   3.28e+04   3.58e+08   46790.75650093293   64941.638572299875   66132.63548188654
Composition-8-kandinsky-painting.jpg.zip   3.28e+04   3.55e+08   50522.13293915324   64941.638572299875   66132.63548188654
The-Birth-of-Venus-Painting.jpg   3.40e+04   3.62e+08   589820.6668121236   64941.638572299875   66132.63548188654
The-Birth-of-Venus-Painting.jpg.bf-cfb   3.29e+04   3.57e+08   47639.59292107259   64941.638572299875   66132.63548188654
The-Birth-of-Venus-Painting.jpg.bf-ofb   3.27e+04   3.60e+08   48094.25183124426   64941.638572299875   66132.63548188654
The-Birth-of-Venus-Painting.jpg.zip   3.31e+04   3.53e+08   80110.04024157737   64941.638572299875   66132.63548188654
a-friend-in-need-painting.jpg   3.09e+04   3.80e+08   181608.26530680107   64941.638572299875   66132.63548188654
a-friend-in-need-painting.jpg.bf-cfb   3.26e+04   3.59e+08   41322.40597843083   64941.638572299875   66132.63548188654
a-friend-in-need-painting.jpg.bf-ofb   3.27e+04   3.56e+08   41651.962354716896   64941.638572299875   66132.63548188654
a-friend-in-need-painting.jpg.zip   3.26e+04   3.58e+08   45203.82232376323   64941.638572299875   66132.63548188654
pexels-photo-257840.jpeg   3.11e+04   3.60e+08   153049.04818307754   64941.638572299875   66132.63548188654
pexels-photo-257840.jpeg.bf-cfb   3.29e+04   3.60e+08   44252.233919051556   64941.638572299875   66132.63548188654
pexels-photo-257840.jpeg.bf-ofb   3.28e+04   3.60e+08   44778.81876851662   64941.638572299875   66132.63548188654
pexels-photo-257840.jpeg.zip   3.27e+04   3.58e+08   46173.20138876516   64941.638572299875   66132.63548188654
school-of-athens-raphael-painting.jpg   3.40e+04   3.67e+08   534175.4971835415   64941.638572299875   66132.63548188654
school-of-athens-raphael-painting.jpg.bf-cfb   3.28e+04   3.59e+08   58561.030378243704   64941.638572299875   66132.63548188654
school-of-athens-raphael-painting.jpg.bf-ofb   3.27e+04   3.58e+08   59152.68741367145   64941.638572299875   66132.63548188654
school-of-athens-raphael-painting.jpg.zip   3.38e+04   3.64e+08   299461.2329381961   64941.638572299875   66132.63548188654
the-bold-bluff.jpg   3.05e+04   3.76e+08   191685.38938406733   64941.638572299875   66132.63548188654
the-bold-bluff.jpg.bf-cfb   3.27e+04   3.57e+08   42673.95766958852   64941.638572299875   66132.63548188654
the-bold-bluff.jpg.bf-ofb   3.28e+04   3.58e+08   41489.37518551492   64941.638572299875   66132.63548188654
the-bold-bluff.jpg.zip   3.32e+04   3.56e+08   42381.53428779049   64941.638572299875   66132.63548188654
the-last-supper-mary-magdalene-painting.jpg   3.30e+04   3.62e+08   187883.17353448714   64941.638572299875   66132.63548188654
the-last-supper-mary-magdalene-painting.jpg.bf-cfb   3.28e+04   3.58e+08   50928.41970919766   64941.638572299875   66132.63548188654
the-last-supper-mary-magdalene-painting.jpg.bf-ofb   3.27e+04   3.58e+08   50687.25331078501   64941.638572299875   66132.63548188654
the-last-supper-mary-magdalene-painting.jpg.zip   3.32e+04   3.59e+08   79122.3645761897   64941.638572299875   66132.63548188654
