Native byteorder:  little
61961_photo_manipulation_vaporwave.jpg   139.5197272587879   5987.381467698837
61961_photo_manipulation_vaporwave.jpg.bf-cfb   127.5268230198178   5456.757483635634
61961_photo_manipulation_vaporwave.jpg.bf-ofb   127.56861799317686   5474.216427356758
61961_photo_manipulation_vaporwave.jpg.zip   130.0784268884502   5483.70065642149
62391_photo_manipulation_vaporwave.jpg   133.74556147993616   5276.75167899931
62391_photo_manipulation_vaporwave.jpg.bf-cfb   127.5892232520743   5461.601094197033
62391_photo_manipulation_vaporwave.jpg.bf-ofb   127.48740672252349   5463.5479676266805
62391_photo_manipulation_vaporwave.jpg.zip   130.51442596985814   5398.141139421881
62392_photo_manipulation_vaporwave.jpg   126.19335130838645   5461.607575762793
62392_photo_manipulation_vaporwave.jpg.bf-cfb   127.57035973405675   5462.364948392042
62392_photo_manipulation_vaporwave.jpg.bf-ofb   127.6557668310716   5456.424063691482
62392_photo_manipulation_vaporwave.jpg.zip   129.62166454132668   5476.777229065545
autumn-colorful-colourful-33109.jpg   131.27398724324564   5222.517060971739
autumn-colorful-colourful-33109.jpg.bf-cfb   127.50199036378831   5465.59044920759
autumn-colorful-colourful-33109.jpg.bf-ofb   127.47675191479004   5463.302379523924
autumn-colorful-colourful-33109.jpg.zip   131.2949392271858   5221.309509523908
eee   94.8   922.4984615384619
eee.bf-cfb   136.7037037037037   5277.640603566535
eee.bf-ofb   116.27160493827161   5704.765736930343
eee.zip   60.81773399014779   5631.4002766385975
first.png   121.1481004507405   5808.637435219789
first.png.bf-cfb   126.46526449968133   5652.142993572488
first.png.bf-ofb   126.69853409815168   5395.267308239918
first.png.zip   113.51074956420686   6120.585735696142
school-of-athens-raphael-painting.jpg   132.25802545964092   5598.937736692256
school-of-athens-raphael-painting.jpg.bf-cfb   127.53463223621547   5448.8113193932695
school-of-athens-raphael-painting.jpg.bf-ofb   127.54447243094508   5456.0214670118585
school-of-athens-raphael-painting.jpg.zip   131.57628836744715   5561.0213102930575
second.png   120.90595611285266   6011.376735684595
second.png.bf-cfb   123.78622816032887   5201.608977859558
second.png.bf-ofb   129.9393627954779   5160.085737312365
second.png.zip   110.11535048802129   6406.343393466335
the-bold-bluff.jpg   118.47158958517798   5751.655952762849
the-bold-bluff.jpg.bf-cfb   127.58600765518389   5436.623870781103
the-bold-bluff.jpg.bf-ofb   127.37238142785822   5465.644237713723
the-bold-bluff.jpg.zip   129.0994869792368   5435.407325565593
the-last-supper-mary-magdalene-painting.jpg   128.47775011214333   5507.3712828531825
the-last-supper-mary-magdalene-painting.jpg.bf-cfb   127.32298851321923   5457.621646865809
the-last-supper-mary-magdalene-painting.jpg.bf-ofb   127.50070857900656   5446.482926969331
the-last-supper-mary-magdalene-painting.jpg.zip   129.29300807935053   5491.638336867909
